username,reply_to_tweet_id,reply_id,reply_text,created_at,likes,retweets,replies,clean_text
ah_yeong32927,1919415902879023381,1967968907626737852,"Lo tau g sih, sebanyak apa yg keracunan. Ya tuhan, EMG sih pelanggaran ham soalny",2025-09-16T15:08:45+00:00,0,0,0,lo tahu sebanyak apa keracunan tuhan memang pelanggaran ham soalny
ah_yeong32927,1919415902879023381,1967968512372269106,"Bangsat ya lu AHKKKKKKK. BODO AMAT YG RAWAT INAP 5, YG JELAS LO TUH KEK PELAN PELAN NEGBUNUH GENERASI MUDA TAU GA. AHKKKK NAPA GUA WNI SIH",2025-09-16T15:07:11+00:00,0,0,1,bangsat lu ahkk bodo amat rawat inap jelas lo tuh kek pelan pelan negbunuh generasi muda tahu ga ahkk napa gua wni
Xapasihakuh8999,1919415902879023381,1963838244472418661,"Bang mau nanya, HSE untuk Industri farmasi pedomannya pakai apa ya bang, HSE ya bang, bukan k3, tpi bisa k3L, mohon pencerahan bang",2025-09-05T05:34:58+00:00,0,0,0,bang mau nanya hse industri farmasi pedomannya pakai apa bang hse bang bukan tpi kl mohon pencerahan bang
publicxerotonin,1919415902879023381,1923004846308823250,"asli, gue ampe deg²an banget bacanya kek, sesepele itukah nyawa orang di mata dia??? HANYA 5 ORANG, tapi gak mikirin perasaan keluarganya, gak mikirin perasaan rakyatnya yang denger statement dia, minimal malu",2025-05-15T13:17:37+00:00,0,0,0,asli gue ampe deg²an banget bacanya kek sesepele itukah nyawa orang mata dia?? orang tidak mikirin perasaan keluarganya tidak mikirin perasaan rakyatnya denger statement minimal malu
sprintear,1919415902879023381,1922327891439697964,MAKE NI ORANG,2025-05-13T16:27:39+00:00,0,0,0,make ni orang
imahappylemon,1919415902879023381,1921927054578127121,MASYAALLAH GAS,2025-05-12T13:54:52+00:00,0,0,0,masyaallah gas
SabrinaEl121,1919415902879023381,1921909583213126132,"SOP dan SPPG dari program MBG ini harus di perbaiki, makanya kita dukung terus program ini agar bisa lebih baik kedepan nya Lanjutkan MBG",2025-05-12T12:45:26+00:00,0,0,0,sop sppg program mbg perbaiki makanya dukung terus program lebih baik kedepan lanjutkan mbg
SabrinaEl121,1919415902879023381,1921909383690137666,"Sementara ada nya masalah keracunan ini BGN mencari cara menangani masalah ini, dan BGN akhirnya melakukan evaluasi SOP program ini agar tidak terjadi lagi Lanjutkan MBG",2025-05-12T12:44:39+00:00,0,0,0,masalah keracunan bgn mencari cara menangani masalah bgn akhirnya melakukan evaluasi sop program tidak terjadi lanjutkan mbg
PlanYout78433,1919415902879023381,1921909088994111871,"Makanan basi itu karena kesalahan pengolahan nya, BGN telah melakukan evaluasi sama SOP dan SPPG program ini Lanjutkan MBG",2025-05-12T12:43:28+00:00,0,0,0,makanan basi kesalahan pengolahan bgn melakukan evaluasi sama sop sppg program lanjutkan mbg
PlanYout78433,1919415902879023381,1921908885587153025,"BGN udah melakukan evaluasi kok di semua dapur MBG, evaluasi ini bertujuan untuk mencegah masalah seperti ini terulang lagi Lanjutkan MBG",2025-05-12T12:42:40+00:00,0,0,0,bgn melakukan evaluasi semua dapur mbg evaluasi bertujuan mencegah masalah terulang lanjutkan mbg
