username,reply_to_tweet_id,reply_id,reply_text,created_at,likes,retweets,replies,clean_text,sentiment_label,confidence,lexicon_sentiment,lexicon_score,bert_sentiment,labeling_method
ah**27,1919415902879023381,1967968907626737852,"Lo tau g sih, sebanyak apa yg keracunan. Ya tuhan, EMG sih pelanggaran ham soalny",2025-09-16T15:08:45+00:00,0,0,0,lo tahu sebanyak apa keracunan tuhan memang pelanggaran ham soalny,negatif,0.9966885447502136,negatif,-0.5,negatif,bert_priority
ah**27,1919415902879023381,1967968512372269106,"Bangsat ya lu AHKKKKKKK. BODO AMAT YG RAWAT INAP 5, YG JELAS LO TUH KEK PELAN PELAN NEGBUNUH GENERASI MUDA TAU GA. AHKKKK NAPA GUA WNI SIH",2025-09-16T15:07:11+00:00,0,0,1,bangsat lu ahkk bodo amat rawat inap jelas lo tuh kek pelan pelan negbunuh generasi muda tahu ga ahkk napa gua wni,negatif,0.9994593262672424,netral,0.0,negatif,bert_priority
Xa**99,1919415902879023381,1963838244472418661,"Bang mau nanya, HSE untuk Industri farmasi pedomannya pakai apa ya bang, HSE ya bang, bukan k3, tpi bisa k3L, mohon pencerahan bang",2025-09-05T05:34:58+00:00,0,0,0,bang mau nanya hse industri farmasi pedomannya pakai apa bang hse bang bukan tpi kl mohon pencerahan bang,netral,0.942443311214447,netral,0.0,netral,bert_priority
pu**in,1919415902879023381,1923004846308823250,"asli, gue ampe deg²an banget bacanya kek, sesepele itukah nyawa orang di mata dia??? HANYA 5 ORANG, tapi gak mikirin perasaan keluarganya, gak mikirin perasaan rakyatnya yang denger statement dia, minimal malu",2025-05-15T13:17:37+00:00,0,0,0,asli gue ampe deg²an banget bacanya kek sesepele itukah nyawa orang mata dia?? orang tidak mikirin perasaan keluarganya tidak mikirin perasaan rakyatnya denger statement minimal malu,negatif,0.9994834661483765,netral,0.0,negatif,bert_priority
sp**ar,1919415902879023381,1922327891439697964,MAKE NI ORANG,2025-05-13T16:27:39+00:00,0,0,0,make ni orang,negatif,0.9937402009963989,netral,0.0,negatif,bert_priority
im**on,1919415902879023381,1921927054578127121,MASYAALLAH GAS,2025-05-12T13:54:52+00:00,0,0,0,masyaallah gas,negatif,0.3412233889102936,netral,0.0,negatif,weighted_voting
Sa**21,1919415902879023381,1921909583213126132,"SOP dan SPPG dari program MBG ini harus di perbaiki, makanya kita dukung terus program ini agar bisa lebih baik kedepan nya Lanjutkan MBG",2025-05-12T12:45:26+00:00,0,0,0,sop sppg program mbg perbaiki makanya dukung terus program lebih baik kedepan lanjutkan mbg,positif,0.934064325094223,positif,0.44,positif,lexicon_priority
Sa**21,1919415902879023381,1921909383690137666,"Sementara ada nya masalah keracunan ini BGN mencari cara menangani masalah ini, dan BGN akhirnya melakukan evaluasi SOP program ini agar tidak terjadi lagi Lanjutkan MBG",2025-05-12T12:44:39+00:00,0,0,0,masalah keracunan bgn mencari cara menangani masalah bgn akhirnya melakukan evaluasi sop program tidak terjadi lanjutkan mbg,negatif,0.5770148861408233,negatif,-0.3333333333333333,negatif,lexicon_priority
Pl**33,1919415902879023381,1921909088994111871,"Makanan basi itu karena kesalahan pengolahan nya, BGN telah melakukan evaluasi sama SOP dan SPPG program ini Lanjutkan MBG",2025-05-12T12:43:28+00:00,0,0,0,makanan basi kesalahan pengolahan bgn melakukan evaluasi sama sop sppg program lanjutkan mbg,negatif,0.8371178019046783,negatif,-0.3,netral,lexicon_priority
Pl**33,1919415902879023381,1921908885587153025,"BGN udah melakukan evaluasi kok di semua dapur MBG, evaluasi ini bertujuan untuk mencegah masalah seperti ini terulang lagi Lanjutkan MBG",2025-05-12T12:42:40+00:00,0,0,0,bgn melakukan evaluasi semua dapur mbg evaluasi bertujuan mencegah masalah terulang lanjutkan mbg,netral,0.994005560874939,netral,0.0,netral,bert_priority
Pu**21,1919415902879023381,1921908652358693273,"Keracunan itu memang hal yang ga wajar, mending kita dukung terus program ini agar bisa menjadi lebih baik kedepan nya Lanjutkan MBG",2025-05-12T12:41:44+00:00,0,0,0,keracunan memang tidak wajar mending dukung terus program menjadi lebih baik kedepan lanjutkan mbg,positif,0.984015941619873,positif,0.19,positif,bert_priority
